id,sanctions_translated,sanctions_lemmatized,final_label
interpol-red-2020-34090,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2018-60901,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-49307,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-46610,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2012-13403,"""murder; illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms.""",murder illegal acquisition transfer sale storage transportation or bearing of firearm,armed formation
interpol-red-2016-63091,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-64765,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-8378,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2014-67974,"organization of an illegal armed formation, or participation in it",organization of an illegal armed formation or participation in it,armed formation
interpol-red-2017-126409,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2014-47675,"abetment to participate in the activity of an illegal armed formation, participation in the activitu of an illegal armed formation",abetment to participate in the activity of an illegal armed formation participation in the activitu of an illegal armed formation,armed formation
interpol-red-2018-49354,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-58931,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2015-36948,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-42497,participation in illegal armed formation.,participation in illegal armed formation,armed formation
NK-8cU6Uw8FAmNV5cEnaK6EA5,"""murder; illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices""",murder illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device,armed formation
interpol-red-2015-13708,violation of the rules for traffic safety and operation of transport vehicles caused by negligence the death of a person,violation of the rule for traffic safety and operation of transport vehicle cause by negligence the death of a person,armed formation
interpol-red-2020-74657,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-163949,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-75641,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2019-29447,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-3521,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-104487,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-173437,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-134782,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-2056,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-68964,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-3959,participation in illegal armed formation.,participation in illegal armed formation,armed formation
NK-Yrg8kSSENPoqPsD6n7mzhW,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-49364,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2021-51730,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-7511,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-84452,participation in the activity of an  illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-49305,"""participation in an illegal armed formation; illegal acquisition and storage of firearms, ammunition ans explosive devices""",participation in an illegal armed formation illegal acquisition and storage of firearm ammunition an explosive device,armed formation
interpol-red-2017-166814,operation assist to an illegal armed formation.,operation assist to an illegal armed formation,armed formation
interpol-red-2018-3415,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-1968,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2018-56611,"""assistance to participation in the activity of an illegal armed formation; participation in the activity of an illegal armed formation; participation in the activity of a terrorist organization""",assistance to participation in the activity of an illegal armed formation participation in the activity of an illegal armed formation participation in the activity of a terrorist organization,armed formation
interpol-red-2016-91659,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-35039,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-73783,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-8195,"""preparations for a crime, and attempted crimes- terrorism by a group of persons in a preliminary conspiracy;
facilitating terrorist activities (3 episodes);
inducement, recruitment or other involvement facilitating terrorist activities(2 episodes);
creation of an armed formation (unit, squad, or any other group) that is not envisaged by a federal law, and likewise operating of such a formation, and participation in an armed formation that is not provided for by a federal law;
organization of the terrorist community and participation in it;
illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices and committed by an organized group
preparations for a crime, and attempted crimes -encroachment on the life of an officer of a law-enforcement agency""",preparation for a crime and attempt crimes- terrorism by a group of person in a preliminary conspiracy facilitate terrorist activity episode inducement recruitment or other involvement facilitate terrorist activities(2 episode creation of an armed formation unit squad or any other group that be not envisage by a federal law and likewise operate of such a formation and participation in an armed formation that be not provide for by a federal law organization of the terrorist community and participation in it illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device and commit by an organize group preparation for a crime and attempt crime -encroachment on the life of an officer of a law enforcement agency,armed formation
interpol-red-2019-99549,participation in an armed formation,participation in an armed formation,armed formation
interpol-red-2016-78361,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-61887,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-40093,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-33109,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-186849,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2012-3076,"special cases of fraud, financial intermediation, laundering of money or other assets and conspiracy",special case of fraud financial intermediation laundering of money or other asset and conspiracy,armed formation
interpol-red-2017-1668,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-53288,"""participation in illegal armed formation; 
illegal acquisition, sale, storage, traffic or wearing of firearm;
llegal acquisition, sale, storage, traffic or wearing of explosives or explosive devices.""",participation in illegal armed formation illegal acquisition sale storage traffic or wear of firearm llegal acquisition sale storage traffic or wear of explosive or explosive device,armed formation
interpol-red-2019-24965,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-29755,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-27834,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-51072,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2010-3017,"financial intermediation, personal fraud and special case of fraud. - financial intermediation, own scam, special case of scam",financial intermediation personal fraud and special case of fraud financial intermediation own scam special case of scam,armed formation
NK-6UDzDx6TSr6qGFuBYBLYKt,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-31318,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2015-80035,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-2388,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-2969,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-65151,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-mJdR4L57HDSGcCtL7SeiY5,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-70145,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2018-7088,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-286852,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2019-46649,"""participation in terrorist organisation; illegal acquisition and storage of ammunition committed by a group of persons by previous concert; illegal acquisition and storage of explosives committed by a group of persons by previous concert.""",participation in terrorist organisation illegal acquisition and storage of ammunition commit by a group of person by previous concert illegal acquisition and storage of explosive commit by a group of person by previous concert,armed formation
interpol-red-2016-72859,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-mXfoBNHZ9uhQhmUC7cSmjv,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2009-11521,"illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices",illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device,armed formation
interpol-red-2020-3916,"""1) illegal acquisition, sale, transfer, storage, transportation or bearing of firearms, its basic parts, ammunition; 2) illegal acquisition, sale, transfer, storage, transportation or bearing of explosives and explosive devices; 3) participation in illegal armed formation; 4) participation in terrorist organization""",illegal acquisition sale transfer storage transportation or bearing of firearm its basic part ammunition illegal acquisition sale transfer storage transportation or bearing of explosive and explosive device participation in illegal armed formation participation in terrorist organization,armed formation
interpol-red-2015-68015,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2020-80690,assistance in participation in illegal armed formation,assistance in participation in illegal armed formation,armed formation
interpol-red-2016-46549,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-29736,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-22108,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2019-41218,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-173426,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-148361,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-56451,violation of the rules for traffic safety and operation of transport vehicles,violation of the rule for traffic safety and operation of transport vehicle,armed formation
interpol-red-2018-41642,participation in the activity illegal armed formation,participation in the activity illegal armed formation,armed formation
interpol-red-2015-63437,"""participation in the activity of a terrorist organization; participation in the activity of an illegal armed formation; illegal acquisition, transfer, sale, storage, transportation or bearing of firearms, its basic parts, ammunition, explosives and explosive devices""",participation in the activity of a terrorist organization participation in the activity of an illegal armed formation illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device,armed formation
interpol-red-2016-74882,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-64222,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-187435,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
NK-3enmiB2UtXKeHkB5gYvJet,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-174240,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-61923,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-28048,participation in illegal armed formation.,participation in illegal armed formation,armed formation
NK-577Mk6Xur68s4cDQaqwqZ5,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2012-8982,"special cases of fraud, financial intermediation, laundering of money or other assets and conspiracy",special case of fraud financial intermediation laundering of money or other asset and conspiracy,armed formation
interpol-red-2016-70023,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-35355,"participation in illegal armed formation, illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices",participation in illegal armed formation illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device,armed formation
NK-GtNvt942HRUvQxRcTd6rSW,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-68962,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2015-77064,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
NK-kook3Dv5exYNg3dBN25xsf,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-78554,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-190239,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-158152,participation in the activity of an iilegal armed formation,participation in the activity of an iilegal armed formation,armed formation
interpol-red-2020-2082,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2021-63151,"""):  participation in the activity of a terrorist organization; participation in the activity of an illegal armed formation; illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices; encroachment on the life of an officer of a law-enforcement agency.""",participation in the activity of a terrorist organization participation in the activity of an illegal armed formation illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device encroachment on the life of an officer of a law enforcement agency,armed formation
interpol-red-2016-75561,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2021-36085,"""participation in the activity of a terrorist organization; participation in the activity of an illegal armed formation;  . illegal acquisition, storage and bearing of firearms""",participation in the activity of a terrorist organization participation in the activity of an illegal armed formation illegal acquisition storage and bearing of firearm,armed formation
interpol-red-2017-196623,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-5141,"""participation in the activity of a terrorist organization; participation in the activity of an illegal armed formation - participation in illegal armed formation.""",participation in the activity of a terrorist organization participation in the activity of an illegal armed formation participation in illegal armed formation,armed formation
interpol-red-2016-40102,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-26817,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-57623,participation in illegal armed fomation,participation in illegal armed fomation,armed formation
interpol-red-2016-27838,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-34365,carried out the smuggling of migrants,carry out the smuggling of migrant,armed formation
interpol-red-2017-200624,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2023-61016,"""organization of activity of the terrorist organization and participation in activity of such organization; participation in the illegal armed formations: illegal acquisition, transfer, sale, storage, transportation or bearing of firearms, its basic parts, ammunition, explosives and explosive devices.""",organization of activity of the terrorist organization and participation in activity of such organization participation in the illegal armed formation illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device,armed formation
interpol-red-2016-49681,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-72542,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-77669,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-7369,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-34575,carried out the smuggling of migrants,carry out the smuggling of migrant,armed formation
interpol-red-2021-3911,"""1) participation in illegal armed formation; 2) participation in terrorist organization; 3) illegal acquisition and storage of firearms and ammunition""",participation in illegal armed formation participation in terrorist organization illegal acquisition and storage of firearm and ammunition,armed formation
interpol-red-2017-6923,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-69121,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2019-47249,participation in an armed formation,participation in an armed formation,armed formation
interpol-red-2017-2057,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-50404,particpation in an illegal armed formation,particpation in an illegal armed formation,armed formation
interpol-red-2020-5205,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-RP2Ay6DauR5wcscUgAHeum,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-42594,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-75543,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-55390,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-65495,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2019-61236,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-192745,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-67695,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-167759,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-135470,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
NK-XQEPZFG2KupNxkY6wJf8v7,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-41950,participation in illegal armed  formation (2 episodes),participation in illegal armed formation episode,armed formation
interpol-red-2018-9260,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-70232,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-8707,operation assist to an illegal armed formation.,operation assist to an illegal armed formation,armed formation
interpol-red-2015-41960,participation in illegal armed  formation (2 episodes),participation in illegal armed formation episode,armed formation
interpol-red-2017-131694,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-88887,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-135883,"""participation in the activity of a terrorist organization;
participation in a criminal community;
illegal acquisition, transfer, storage and transportation of firearms, its basic parts, ammunition, explosives, and explosive devices;
contributing to terrorist activity; murder; wilful damage of property.""",participation in the activity of a terrorist organization participation in a criminal community illegal acquisition transfer storage and transportation of firearm its basic part ammunition explosive and explosive device contribute to terrorist activity murder wilful damage of property,armed formation
interpol-red-2018-60910,"violation of traffic rules and rules for operation of transport vehicles by negligence, entailed a human death.",violation of traffic rule and rule for operation of transport vehicle by negligence entail a human death,armed formation
interpol-red-2015-86220,assistance to the members of an illegal armed formation,assistance to the member of an illegal armed formation,armed formation
interpol-red-2017-168413,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-38909,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-129708,participation in illegal armed formation.,participation in illegal armed formation,armed formation
NK-3ckUDWsas3tqovsTZV77hE,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-5iGX3TiYkSJtGo5gENMGXt,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-25859,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-135801,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-30296,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2021-4302,"""participation in terrorist organization; participation in illeagla armed formation; illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition.""",participation in terrorist organization participation in illeagla armed formation illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition,armed formation
interpol-red-2015-67110,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-162948,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-Brse5s9asRyKgw8Geyia6N,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2010-21075,"""organization of an illegal armed formation, or participation in it; illegal acquisition, transfer, sale, storage, transportation, or bearing
of firearms, its basic parts, ammunition, explosives, and explosive devices""",organization of an illegal armed formation or participation in it illegal acquisition transfer sale storage transportation or bear of firearm its basic part ammunition explosive and explosive device,armed formation
interpol-red-2017-3771,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-286862,participation inthe activity of an illegal armed formation,participation inthe activity of an illegal armed formation,armed formation
interpol-red-2017-13363,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-46060,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-94538,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-131453,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2018-98701,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-79694,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
NK-AiCvHnWpgxANmeoy6JAXV6,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-34928,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-74798,assistance to the members of an illegal armed formation,assistance to the member of an illegal armed formation,armed formation
NK-K5orEvqoyBB8z2g2PwBe5k,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
NK-euf7hqVNajz8Hhc9zaXzFE,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-36689,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
NK-My7tBuC7nfVxVURk8pLcEH,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-204516,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-66759,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-hpP2fVd6puPqidKfXEbdW9,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-3939,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2018-60963,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
NK-TyU9J7oL6pnHHcmgCjYhba,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2021-46213,"""murder of two or more persons committed maliciously. attempted murder. 
illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices. 
preparations for a crime, and attempted crimes.""",murder of or more person commit maliciously attempt murder illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device preparation for a crime and attempt crime,armed formation
interpol-red-2017-7805,"""1) organization of illegal armed formation; 2) participation in illegal armed formation; 3) banditry; 4) encroachment on the life of an officer of a law-enforcement agency; 5) illegal acquisition, transfer, sale, storage, transportation or bearing of firearms, its basic parts, ammunition, explosives and explosive devices""",organization of illegal armed formation participation in illegal armed formation banditry encroachment on the life of an officer of a law enforcement agency illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device,armed formation
NK-JV93PDc4VxVyyu2Rayn9Jj,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2021-35653,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-66164,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-3783,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2023-60803,"""illegal acquisition and storage of ammunition committed by a group of persons by prior conspiracy; illegal acquisition and storage of explosive devices committed by a group of persons by prior conspiracy; participation in the activities of a terrorist organization; participation in the activity of an illegal armed formation""",illegal acquisition and storage of ammunition commit by a group of person by prior conspiracy illegal acquisition and storage of explosive device commit by a group of person by prior conspiracy participation in the activity of a terrorist organization participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-3329,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-200838,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-67527,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2020-72491,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2016-79051,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-61907,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-255021,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-17205,kidnapping for ransom,kidnapping for ransom,armed formation
interpol-red-2018-9755,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-37677,assistance in preparation for participation in the activity of an illegal armed formation,assistance in preparation for participation in the activity of an illegal armed formation,armed formation
NK-Q7QJNqBBCZ5UndQvtNe2fx,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2018-89902,participating in illegal armed formation,participate in illegal armed formation,armed formation
NK-aKdvgn9mFVe7zMKjgTFXvd,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-14815,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2017-166810,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-48371,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-14654,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-165183,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-38066,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-66130,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-206070,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2010-41975,"""1. constitute an organized criminal group; 2. smuggling; 3. migrant smuggling""",constitute an organize criminal group smuggling migrant smuggling,armed formation
interpol-red-2015-41795,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2018-86161,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-fp5uTgvT5oCn4P3fKLcuci,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
NK-HesJtFQwny99KGSUsQKqcL,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2020-6605,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-51414,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-254989,participation in illegal armed formation.,participation in illegal armed formation,armed formation
NK-MEtsRdSrNWeHdNSwXddLiZ,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-69733,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2021-21824,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-7763,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2017-2961,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-175815,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2015-41887,participation in illegal armed  formation,participation in illegal armed formation,armed formation
NK-mB3Pictdsd6M363Nxp4yeS,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2018-47458,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-W96Zp7anC83miYbKMa8CWB,participation in the activity of an illegal armed formation,participation in the activity of an illegal armed formation,armed formation
interpol-red-2020-33422,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-erhkPrc42ZDZwCz4cctE7G,participation in illegal armed formation.,participation in illegal armed formation,armed formation
interpol-red-2016-68956,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2018-88235,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-63288,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2015-22725,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2015-77944,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-25296,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-58120,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2017-174234,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2016-34791,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-dKYUhFEVzUxZP7FP6usGA7,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2019-68411,participation in illegal armed formation,participation in illegal armed formation,armed formation
interpol-red-2017-173249,participation in illegal armed formation,participation in illegal armed formation,armed formation
Q4147154,terrorist attack and unlawful storage of explosives,terrorist attack and unlawful storage of explosive,armed formation
interpol-red-2018-3409,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-e69W8rptpFJxKHYVncVdqk,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2016-52989,participation in illegal armed formation,participation in illegal armed formation,armed formation
NK-UCBVzyEFc6bbem962DhcN7,participation in an illegal armed formation,participation in an illegal armed formation,armed formation
interpol-red-2014-60539,"murder, theft, illegal acquisition, transfer, sale, storage, transportation, or bearing of firearms, its basic parts, ammunition, explosives, and explosive devices, threats or forcible actions in connection with the administration of justice or preliminary investigation, unlawful occupancy of a car or any other transport vehicle without the purpose of stealing",murder theft illegal acquisition transfer sale storage transportation or bearing of firearm its basic part ammunition explosive and explosive device threat or forcible action in connection with the administration of justice or preliminary investigation unlawful occupancy of a car or any other transport vehicle without the purpose of steal,armed formation
interpol-red-2018-101845,participation in  illegal armed formation,participation in illegal armed formation,armed formation
